controllingOrgId,createdTimestamp,updatedTimestamp,shortName,fullName,url,organizationType,status,startDate,endDate,notes
,,,CCITT SG 17 (1980),CCITT Study Group XVII (Study Period 1977-1980) - Data Transmission,,topic focus group,Continued,1977,1980,Reorganized from CCITT SSG A
,,,CCITT SG 17 (1984),CCITT Study Group XVII (Study Period 1981-1984) - Data Communication Over the Telephone Network,,topic focus group,Continued,1981,1984,
,,,CCITT SG 17 (1988),CCITT Study Group XVII (Study Period 1985-1988) - Data Communication Over the Telephone Network,,topic focus group,Continued,1985,1988,
,,,CCITT SG 17 (1992),CCITT Study Group XVII (Study Period 1989-1992) - Data Communication Over the Telephone Network,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T SG 14 (1996)
,,,ITU-R,ITU Radiocommunication Sector,https://itu.int/itu-r/,international standards organization,Active,1992,,Reorganized from CCIR
,,,ITU-T,ITU Telecommunication Standardization Sector,https://itu.int/itu-t/,international standards organization,Active,1992,,Reorganized from CCITT
,,,ITU-T SG 4 (1996),ITU-T Study Group 4 (Study Period 1993-1996) - Network Maintenance,,topic focus group,Continued,1993,1996,Reorganized from CCITT IV (1992)
,,,ITU-T SG 4 (2000),ITU-T Study Group 4 (Study Period 1996-2000) - TMN and Network Maintenance,,topic focus group,Continued,1996,2000,
,,,ITU-T SG 4 (2004),"ITU-T Study Group 4 (Study Period 2001-2004) - Telecommunication Management, including TMN",,topic focus group,Continued,2001,2004,Incorporated questions from ITU-T SG 7 (2000)
,,,ITU-T SG 4 (2008),ITU-T Study Group 4 (Study Period 2005-2008) - Telecommunication Management,,topic focus group,Reorganized,2005,2008,Reorganized into ITU-T SG 2 (2012) and SG 15 (2012)
,,,ITU-T SG 7 (1996),ITU-T Study Group 7 (Study Period 1993-1996) - Data Networks and Open Systems Communications,,topic focus group,Continued,1993,1996,Reorganized from CCITT SG 7 (1992)
,,,ITU-T SG 7 (2000),ITU-T Study Group 7 (Study Period 1996-2000) - Data Networks and Open Systems Communications,,topic focus group,Reorganized,1997,2000,Reorganized into ITU-T SG 7 (2004) and SG 4 (2004)
,,,ITU-T SG 7 (2004),ITU-T Study Group 7 (Study Period 2001-2004) - Data Networks and Open Systems Communications,,topic focus group,Reorganized,2001,2001-09-16,Reorganized into ITU-T SG 17 (2004)
,,,ITU-T SG 8 (1996),ITU-T Study Group 8 (Study Period 1993-1996) - Terminals for Telematic Services,,topic focus group,Reorganized,1993,1996,Reorganized from CCITT SG 8 (1992) || Some questions transferred to ITU-T SG 16 (2000)
,,,ITU-T SG 8 (2000),ITU-T Study Group 8 (Study Period 1996-2000) - Characteristics of Telematic Systems,,topic focus group,Reorganized,1996,2000,Reorganized into ITU-T SG 16 (2004)
,,,ITU-T SG 10 (1996),ITU-T Study Group 10 (Study Period 1993-1996) - Languages for Telecommunication Applications,,topic focus group,Continued,1993,1996,Reorganized from CCITT SG 10 (1992)
,,,ITU-T SG 10 (2000),ITU-T Study Group 10 (Study Period 1996-2000) - Languages and General Software Aspects for Telecommunication Systems,,topic focus group,Continued,1996,2000,
,,,ITU-T SG 10 (2004),ITU-T Study Group 10 (Study Period 2000-2004) - Languages and General Software Aspects for Telecommunication Systems,,topic focus group,Reorganized,2001,2001-09-16,Reorganized into ITU-T SG 17 (2004)
,,,ITU-T SG 13 (2008),ITU-T Study Group 13 (Study Period 2005-2008) - Next Generation Networks,,topic focus group,Continued,2005,2008,Reorganized from ITU-T SG 13 (2004) and SG 17 (2004)
,,,ITU-T SG 14 (1996),"ITU-T Study Group 14 (Study Period 1993-1996) - Modems and Transmission Techniques for Data, Telegraph and Telematic Services",,topic focus group,Reorganized,1993,1996,Reorganized from CCITT SG 17 (1992) and portions of SG 9 (1992) || Reorganized into existing ITU-T SG 15 (2000) and new SG 16 (2000)
,,,ITU-T SG 16 (2000),ITU-T Study Group 16 (Study Period 1996-2000) - Multimedia Services and Systems,,topic focus group,Continued,1996,2000,
,,,ITU-T SG 16 (2004),"ITU-T Study Group 16 (Study Period 2001-2004) - Multimedia Services, Systems and Terminals",,topic focus group,Continued,2001,2004,Incorporated questions from discontinued ITU-T SG 8 (2000)
,,,ITU-T SG 16 (2008),"ITU-T Study Group 16 (Study Period 2005-2008) - Multimedia Terminals, Systems and Applications",,topic focus group,Continued,2005,2008,Incorporated questions from ITU-T SG 15 (2004)
,,,ITU-T SG 16 (2012),"ITU-T Study Group 16 (Study Period 2009-2012) - Multimedia Coding, Systems and Applications",,topic focus group,Continued,2009,2012,
,,,ITU-T SG 16 (2016),"ITU-T Study Group 16 (Study Period 2013-2016) - Multimedia Coding, Systems and Applications",,topic focus group,Continued,2013,2016,
,,,ITU-T SG 16 (2021),"ITU-T Study Group 16 (Study Period 2017-2021) - Multimedia Coding, Systems and Applications",,topic focus group,Continued,2017,2021,
,,,ITU-T SG 16 (2024),"ITU-T Study Group 16 (Study Period 2017-2021) - Multimedia Coding, Systems and Applications",,topic focus group,Reorganized,2022,2024,Reorganized to ITU-T SG 21 (2028)
,,,ITU-T SG 17 (2004),ITU-T Study Group 17 (Study Period 2001-2004) - Data Networks and Telecommunication Software,,topic focus group,Reorganized,2001-09-17,2004,Reorganized from ITU-T SG 7 (2004) and SG 10 (2004) || Reorganized into ITU-T SG 13 (2008) and SG 17 (2008)
,,,ITU-T SG 17 (2008),"ITU-T Study Group 17 (Study Period 2005-2008) - Security, Languages and Telecommunication Software",,topic focus group,Continued,2005,2008,Reorganized from ITU-T SG 17  (2004)
,,,ITU-T SG 17 (2012),ITU-T Study Group 17 (Study Period 2009-2012) - Security,,topic focus group,Continued,2009,2012,
,,,ITU-T SG 17 (2016),ITU-T Study Group 17 (Study Period 2013-2016) - Security,,topic focus group,Continued,2013,2016,
,,,ITU-T SG 17 (2021),ITU-T Study Group 17 (Study Period 2017-2021) - Security,,topic focus group,Continued,2017,2021,
,,,ITU-T SG 17 (2024),ITU-T Study Group 17 (Study Period 2022-2024) - Security,,topic focus group,Continued,2022,2024,
,,,ITU-T SG 17 (2028),ITU-T Study Group 17 (Study Period 2025-2028) - Security,https://www.itu.int/en/ITU-T/studygroups/2025-2028/17/Pages/default.aspx,topic focus group,Active,2025,2028,
,,,ANSI,American National Standards Institute,https://ansi.org/,regional/national standards organization,Active,1969,,Reorganized from USASI
,,,USASI (ANSI),United States of America Standards Institute,,regional/national standards organization,Reorganized,1966,1969,Reorganized from ASA || Reorganized into ANSI
,,,ASA (ANSI),American Standards Association,,regional/national standards organization,Reorganized,1928,1966,Reorganized from AESC || Reorganized into USASI
,,,AESC (ANSI),American Engineering Standards Committee,,regional/national standards organization,Reorganized,1918,1928,Reorganized into ASA
,,,USNC (ANSI),United States National Committee of the IEC,https://www.ansi.org/usnc-iec/,regional/national standards organization,Active,1907,,"Affiliated with ASA and successors from 1931 for administrative support, becomes formal body of ANSI in 1976 "
,,,INCITS,InterNational Committee for Information Technology Standards,https://www.incits.org/,regional/national standards organization,Active,2001,,Reorganized from NCITS
,,,NCITS (INCITS),"Accredited Standards Committee NCITS, National Committee for Information Technology",,regional/national standards organization,Reorganized,1997,2001,Reorganized from X3 || Reorganized into INCITS
,,,X3 (INCITS),"Accredited Standards Committee X3, Information Technology",,regional/national standards organization,Reorganized,1961,1997,Reorganized into NCITS
,,,INCITS/L2,L2 - Character Sets and Internationalization technical committee,https://www.incits.org/committees/l2,topic focus group,Active,,,Reorganized from X3L2
,,,X3L2,X3L2 Subcommittee on Character Sets and Codes,,topic focus group,Reorganized,,,Reorganized from X3.2 || Reorganized into INCITS/L2
,,,X3.2,X3.2 Subcommittee on Codes and Input-Output,,topic focus group,Reorganized,,,Reorganized into X3L2
,,,ETSI,European Telecommunications Standards Institute,https://www.etsi.org/,regional/national standards organization,Active,1988,,
,,,ENISA,European Union Agency for Cybersecurity,https://www.enisa.europa.eu/,regional/national standards organization,Active,2004-03-13,,
,,,ITI,Information Technology Industry Council,https://www.itic.org/,industry association,Active,1994,,Reorganized from CBEMA
,,,CBEMA (ITI),Computer and Business Equipment Manufacturers Association,,industry association,Reorganized,1973,1994,Reorganized from BEMA || Reorganized into ITI
,,,BEMA (ITI),Business Equipment Manufacturers Association,,industry association,Reorganized,1961,1973,Reorganized from OEMI || Reorganized into CBEMA
,,,OEMI (ITI),Office Equipment Manufacturers Institute,,industry association,Reorganized,1929,1961,Reorganized from NAOAM || Reorganized into BEMA
,,,NAOAM (ITI),National Association of Office Appliance Manufacturers,,industry association,Reorganized,1916,1929,Reorganized into OEMI
,,,ICAO,International Civil Aviation Organization,https://www.icao.int/,international standards organization,Active,1944,,
,,,SVTA,Streaming Video Technology Alliance,https://www.svta.org/,industry association,Active,,,
,,,OATC,Open Authentication Technology Committee,https://oatc.svta.org/,topic focus group,Closed,,,
,,,Unicode,Unicode Consortium,https://unicode.org/,industry association,Active,1991-01-03,,
,,,Netscape,Netscape Communications Corporation,,independent organization,Reorganized,1994-11-14,1999-03-17,Reorganized from Mosaic || Acquired by America Online
,,,Mosaic (Netscape),Mosaic Communications Corporation,,independent organization,Reorganized,1994-04-04,1994-11-14,Reorganized into Netscape
,,,Open Group,The Open Group,https://www.opengroup.org,industry association,Active,1996,,Reorganized from X/Open and Open Software Foundation
,,,X/Open (Open Group),X/Open Company,,industry association,Reorganized,1987,1996,Reorganized into The Open Group with Open Software Foundation
,,,BISON (Open Group),Open Group for Unix Systems,,industry association,Reorganized,1984,1987,Reorganized into X/Open Company
,,,OSF (Open Group),Open Software Foundation,,industry association,Reorganized,1988,1996,Reorganized into The Open Group with X/Open Company
